customer_id_1,customer_id_2
1000,1154
1045,1194
1071,1076
1063,1214
1111,1176
1018,1230
1175,1235
1067,2000
1052,1093
1129,1180
1033,1148
1027,2002
1107,1162
1099,1141
1066,1133
1041,1191
1012,1219
1100,1170
1089,1195
1162,1173
1160,2000
1059,1090
1111,1164
2005,2008
1147,1160
1031,1206
1204,1208
1048,2004
2004,2005
1123,1234
1196,1238
1019,1219
1024,2007
1125,1136
1001,1155
1065,1097
1021,1110
2000,2009
1071,1126
1022,1166
1038,2007
1015,1071
1010,1155
1010,1131
1003,1222
1077,1089
1084,1192
1062,1125
1002,1161
1016,1192
2004,2008
